measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,1,Global,3,Both,23,5-14 years,294,All causes,1,Number,1999,1514159.916,1554000.504,1479163.261
1,Deaths,1,Global,3,Both,24,15-49 years,294,All causes,1,Number,1999,8901251.617,9124618.297,8774451.844
1,Deaths,1,Global,3,Both,25,50-69 years,294,All causes,1,Number,1999,11986564.36,12215435.73,11815882.68
1,Deaths,1,Global,3,Both,420,<70 years,294,All causes,1,Number,1999,31749362.37,32138767.89,31489517.65
1,Deaths,1,Global,3,Both,1,<5 years,294,All causes,1,Number,1998,9684474.118,9787221.791,9597467.381
1,Deaths,1,Global,3,Both,23,5-14 years,294,All causes,1,Number,1998,1553003.865,1589544.332,1517135.64
1,Deaths,1,Global,3,Both,24,15-49 years,294,All causes,1,Number,1998,8703367.64,8815968.229,8578087.782
1,Deaths,1,Global,3,Both,25,50-69 years,294,All causes,1,Number,1998,11941633.77,12175096.56,11742104.18
1,Deaths,1,Global,3,Both,420,<70 years,294,All causes,1,Number,1998,31882479.39,32166686.31,31610558.7
1,Deaths,1,Global,3,Both,1,<5 years,294,All causes,1,Number,1997,9958577.881,10053284.04,9877379.337
1,Deaths,1,Global,3,Both,23,5-14 years,294,All causes,1,Number,1997,1579577.749,1616479.655,1543992.781
1,Deaths,1,Global,3,Both,24,15-49 years,294,All causes,1,Number,1997,8545558.639,8661610.261,8439553.829
1,Deaths,1,Global,3,Both,25,50-69 years,294,All causes,1,Number,1997,11909063.41,12128401.45,11710453.51
1,Deaths,1,Global,3,Both,420,<70 years,294,All causes,1,Number,1997,31992777.68,32278350.17,31689421.27
1,Deaths,1,Global,3,Both,1,<5 years,294,All causes,1,Number,2000,9019272.969,9106841.541,8920007.216
1,Deaths,1,Global,3,Both,23,5-14 years,294,All causes,1,Number,2000,1456421.109,1492624.452,1419631.856
1,Deaths,1,Global,3,Both,24,15-49 years,294,All causes,1,Number,2000,9035227.357,9140210.881,8928998.778
1,Deaths,1,Global,3,Both,25,50-69 years,294,All causes,1,Number,2000,11991611.62,12176623.98,11834836.7
1,Deaths,1,Global,3,Both,420,<70 years,294,All causes,1,Number,2000,31502533.05,31760201.25,31304197.36
1,Deaths,1,Global,3,Both,1,<5 years,294,All causes,1,Number,2001,8724957.495,8811020.423,8635369.719
1,Deaths,1,Global,3,Both,23,5-14 years,294,All causes,1,Number,2001,1405454.889,1443991.809,1375383.908
1,Deaths,1,Global,3,Both,24,15-49 years,294,All causes,1,Number,2001,9063276.487,9158823.509,8959737.017
1,Deaths,1,Global,3,Both,25,50-69 years,294,All causes,1,Number,2001,12056977.78,12269537.13,11871771.62
1,Deaths,1,Global,3,Both,420,<70 years,294,All causes,1,Number,2001,31250666.65,31523226.93,31011206.08
1,Deaths,1,Global,3,Both,1,<5 years,294,All causes,1,Number,2002,8462769.173,8558298.74,8377940.18
1,Deaths,1,Global,3,Both,23,5-14 years,294,All causes,1,Number,2002,1354608.463,1388761.135,1323527.397
1,Deaths,1,Global,3,Both,24,15-49 years,294,All causes,1,Number,2002,9117407.566,9214690.966,9018457.006
1,Deaths,1,Global,3,Both,25,50-69 years,294,All causes,1,Number,2002,12168076.93,12391081.38,11955707.34
1,Deaths,1,Global,3,Both,420,<70 years,294,All causes,1,Number,2002,31102862.13,31394987.35,30863501.11
1,Deaths,1,Global,3,Both,1,<5 years,294,All causes,1,Number,2003,8210329.639,8284847.144,8132898.958
1,Deaths,1,Global,3,Both,23,5-14 years,294,All causes,1,Number,2003,1315742.873,1343783.486,1284373.859
1,Deaths,1,Global,3,Both,24,15-49 years,294,All causes,1,Number,2003,9132633.58,9245409.57,9036408.052
